Methods, PR, NPR, SR, PR, NPR, SR
BAT,40.7, 39.0,35.7,40.8, 39.05,35.4
CAFormer,42.6, 40.9,37.3,45.3, 40.87,39.1
CDAATrack,29.5, 26.0,24.9,30.1, 25.99,25.4
CSTNet,16.2, 9.5,12.4,16.0, 9.49,12.4
D3TrackC3,52.0, 49.7,44.0,52.0, 49.72,44.0
D3TrackC3I05,51.2, 48.7,43.3,51.2, 48.68,43.3
D3TrackC3I20,52.1, 49.7,43.9,52.1, 49.66,43.9
D3TrackC3I30,52.0, 49.7,44.0,52.0, 49.72,44.0
D3TrackC4e06,51.7, 49.1,43.5,51.7, 49.11,43.5
D3TrackC4e09,52.3, 49.0,43.9,52.3, 49.02,43.9
D3TrackC4e23,52.4, 49.3,43.9,52.4, 49.33,43.9
D3TrackV2,46.7, 46.5,38.1,49.9, 46.53,41.6
D3TrackV2(T1),50.1, 47.9,42.2,51.6, 47.86,43.6
D3TrackV2(T2),50.8, 47.9,42.7,50.1, 47.89,42.1
MRTTrack(T),16.1, 9.0,12.5,16.1, 9.05,12.5
SDSTrack,16.9, 33.6,17.7,20.8, 33.64,20.6
SPT(RGBD1k),26.7, 25.6,23.2,30.3, 25.64,25.2
SUTrack,40.5, 37.7,34.0,40.1, 37.70,33.7
TBSI,31.2, 25.1,25.6,31.5, 25.09,25.6
TUMFNet,50.8, 48.8,43.7,51.7, 48.76,44.6
UncTrack(V),41.4, 34.7,32.8,41.4, 34.72,32.8
UNTrack,44.2, 40.5,37.4,43.5, 40.50,36.9
ViPT,43.3, 38.6,36.7,42.5, 38.59,35.8
